Shoe Name,Sizing,Arch Support,Ankle Support,Narrow or Wide,Injury Prevention,Traction,Comfort,Durability,Price ($),Recommended
Nike G.T. Cut 3,True to size,Moderate,Low,Narrow,Moderate,High,Moderate,High,245,Yes
Giannis Freak 6,Runs slightly small,High,Moderate,Medium,High,Very high,High,Very high,180,Yes
LeBron XXII 'Crown Jewel',True to size,High,High,Wide,High,High,Very high,High,260,Yes
Air Jordan XXXIX 'Lumière',True to size,Moderate,Moderate,Narrow,Moderate,High,High,Moderate,260,Yes
LeBron Witness 8,True to size,Moderate,Moderate,Medium,Low,High,Moderate,High,145,No
Nike Kyrie Infinity,True to size,High,Moderate,Narrow,High,Very high,High,High,160,Yes
Nike PG 6,Runs slightly small,Moderate,Moderate,Medium,High,High,Moderate,High,120,Yes
Curry One 'Underdog',True to size,High,Moderate,Narrow,High,High,High,High,130,yes
Curry Flow 10,Runs slightly small,High,Moderate,Narrow,Very high,High,Very high,High,160,Yes
UA HOVR Havoc 4,True to size,Moderate,High,Medium,High,Moderate,High,High,140,Yes
Under Armour Spawn 4,True to size,Moderate,Moderate,Wide,High,High,Moderate,High,120,No
Under Armour Curry 9,True to size,High,High,Narrow,Very high,High,Very high,High,200,Yes
Under Armour Lockdown 6,True to size,Moderate,Low,Wide,Moderate,Moderate,High,Moderate,70,No
Under Armour Jet '21,True to size,Moderate,Moderate,Medium,High,High,High,High,110,Yes
Adidas Dame 8,True to size,Moderate,Moderate,Medium,High,Moderate,High,High,140,Yes
Adidas Trae Young 2,True to size,Moderate,High,Medium,Very high,High,High,High,160,Yes
Adidas Harden Vol. 7,Runs slightly big,High,Moderate,Wide,High,Very high,High,High,180,Yes
Adidas Pro Boost,True to size,Moderate,Moderate,Medium,High,Moderate,Moderate,Moderate,120,No
Adidas Crazy BYW X,True to size,High,Moderate,Wide,High,Very high,Very high,High,190,Yes
Adidas Donovan Mitchell D.O.N. Issue #4,True to size,Moderate,High,Medium,High,Very high,High,Moderate,130,Yes
Adidas Exhibit A,Runs slightly big,Moderate,Low,Narrow,Moderate,High,Moderate,High,100,No
